trip_date,total_trips,avg_distance,max_distance,avg_duration_minutes,avg_fare,avg_tip,total_revenue,active_vendors
2008-12-31,1,1.88,1.88,14.266666666666667,10.5,0.0,11.3,1
2009-01-01,4,7.612500000000001,28.76,87.8625,22.375,0.0,98.94999999999999,1
2021-06-07,1,7.74,7.74,89.58333333333333,56.0,0.0,57.3,1
2021-06-09,2,3.89,7.78,46.858333333333334,43.0,0.0,87.6,1
2021-06-10,6,8.055,13.75,58.644444444444446,40.75,0.0,258.85,1
2021-06-11,2,12.08,15.78,60.575,49.0,0.0,106.15,1
2021-07-01,1894,3.3880095036958817,37.6,25.02029215065118,15.306378035902851,1.2436589229144666,35348.45,2
2021-07-02,1968,3.375650406504065,35.36,20.292505081300813,15.019268292682925,1.2570680894308943,35996.38,2
2021-07-03,1443,3.3578378378378377,27.36,20.726784476784477,14.268246708246709,1.1048995148995149,24655.89,2
2021-07-04,1133,3.9407678729037956,33.38,27.16659311562224,15.913362753751104,1.2594351279788174,21564.36,2
2021-07-05,1316,3.8464057750759877,34.4,23.934815096251267,15.651747720364742,1.4825455927051672,25130.27,2
2021-07-06,1822,3.3194182217343577,34.36,22.013364434687155,14.784445664105379,1.3484028540065862,33222.95,2
2021-07-07,1852,3.3835421166306694,37.98,23.98061555075594,15.029838012958962,1.3144870410367169,34218.35,2
2021-07-08,1713,3.3715528312901344,34.69,29.330939871570344,15.277816695855226,1.400373613543491,32028.69,2
2021-07-09,1734,3.372358708189158,34.88,25.079065743944636,14.61336216839677,1.3199019607843137,31176.87,2
2021-07-10,1627,3.64980331899201,43.06,27.37541487400123,15.111389059618931,1.3113153042409345,29651.8,2
2021-07-11,1218,4.029211822660098,36.93,23.048563218390807,16.168522167487684,1.3645648604269294,23747.72,2
2021-07-12,1677,3.4999403697078115,49.6,27.442098986285032,14.87989862850328,1.3492546213476444,30743.29,2
2021-07-13,1816,3.39590859030837,57.61,20.932865271659328,14.961569383259912,1.3240748898678414,33399.27,2
2021-07-14,1834,3.2243784078516904,34.38,21.917893493275173,14.448893129770992,1.387824427480916,32939.28,2
2021-07-15,1924,3.1937941787941786,35.29,23.189899514899516,14.888321205821207,1.3506756756756755,35230.72,2
2021-07-16,1869,3.31366506153023,33.7,23.15801676475834,14.790679507758158,1.3821134296415196,34194.8,2
2021-07-17,1586,3.533020176544767,46.6,23.153373266078184,14.653701134930643,1.3839470365699875,28331.48,2
2021-07-18,1244,3.7266398713826363,41.8,22.964375669882102,15.257532154340835,1.5833601286173633,23322.98,2
2021-07-19,1690,3.4839171597633136,33.96,25.460453648915188,14.921473372781065,1.366656804733728,31104.74,2
2021-07-20,1315,3.4617490494296574,34.42,19.745956907477822,14.68460836501901,1.3861216730038022,23883.23,2
2021-07-21,1647,3.573296903460838,43.42,18.87109896782028,15.24769884638737,1.4427504553734063,31048.47,2
2021-07-22,1696,3.4027181603773586,41.06,22.033284198113204,15.14034787735849,1.488189858490566,31747.61,2
2021-07-23,1779,3.5363350196739742,33.07,20.657316844669293,15.402535132096684,1.3555424395727935,33713.08,2
2021-07-24,1591,3.49637335009428,51.1,24.020102660800337,14.484569453174105,1.437718416090509,28203.81,2
2021-07-25,1156,3.7166955017301038,85.81,22.481286043829297,14.575181660899654,1.5036159169550174,20801.94,2
2021-07-26,1786,3.650509518477044,39.36,24.146939156401643,15.184888017917133,1.3973404255319148,33549.08,2
2021-07-27,1678,3.5002205005959475,37.6,25.845669447755263,14.88935041716329,1.525917759237187,31102.68,2
2021-07-28,1766,3.510894677236693,63.4,20.585098150245376,14.70105322763307,1.5067950169875424,32408.54,2
2021-07-29,1812,3.4831898454746137,31.87,22.86403605592347,15.064690949227373,1.4757174392935983,33916.58,2
2021-07-30,1824,3.53469298245614,44.1,27.115625,15.001041666666667,1.3296436403508771,33563.61,2
2021-07-31,1672,3.7258911483253585,36.46,22.10915071770335,15.696381578947367,1.467200956937799,31698.37,2
2021-08-01,2,4.475,5.81,20.358333333333334,18.0,2.43,43.46,1
